Spectrum	Date	Time	H2O% 191C	CO ppm 191C (1of2)	CO% 191C (2of2)	CO2% 191C	Temp (C)	Pressure (Atm)	H2O% 191C resid	CO ppm 191C (1of2) resid	CO% 191C (2of2) resid	CO2% 191C resid	Igram DC	Igram PP	phase Angle	laser PP	laser DC	Bad Scan counter	Centerburst Location	Linearizer Check	SNR 2500	sBeam @ 2500	
N/A	12/19/2016	16:38:23.479	-0.020192	6382.142253	0.658978	-0.037343	190.231995	1.009237	0.095666	65.989869	0.013412	0.549867	2.076411	7.129143	87.529411	4.862745	-5.019608	1.000000	1126.496826	0.003252	1697.651001	0.735347
N/A	12/19/2016	16:38:43.106	-0.013100	6540.140962	0.679241	-0.035310	190.215927	1.009339	0.092947	67.493175	0.014101	0.571306	2.075054	7.127764	87.529411	4.784314	-5.019608	1.000000	1126.477417	0.003173	1631.414307	0.735471
N/A	12/19/2016	16:39:02.724	-0.009998	6673.864182	0.699546	-0.049458	190.221283	1.009288	0.091878	69.939560	0.014561	0.593181	2.073890	7.127581	86.823532	4.901961	-5.019608	1.000000	1126.555176	0.003231	1502.109985	0.735589
N/A	12/19/2016	16:39:22.373	-0.014158	6852.716232	0.720455	-0.053498	190.205215	1.009305	0.088170	72.920845	0.015269	0.612145	2.073211	7.127115	87.529411	4.862745	-5.019608	1.000000	1126.609985	0.003186	1343.900513	0.735742
N/A	12/19/2016	16:39:42.029	-0.016496	7006.496301	0.736662	-0.060952	190.301605	1.009305	0.086876	76.900105	0.015800	0.632314	2.073915	7.127604	86.823532	4.823529	-5.019608	1.000000	1126.585205	0.003132	1499.363281	0.735625
N/A	12/19/2016	16:40:01.596	-0.011430	7120.952786	0.753214	-0.049198	190.301605	1.009305	0.083429	85.147915	0.016288	0.650785	2.078503	7.129097	86.117645	4.980392	-5.019608	1.000000	1126.623779	0.003148	1322.493042	0.736473
N/A	12/19/2016	16:40:21.253	-0.003715	7258.148247	0.770332	-0.042172	190.253418	1.009373	0.081271	87.996100	0.016653	0.668660	2.079676	7.130762	86.823532	4.862745	-5.019608	1.000000	1126.631958	0.003187	1378.152832	0.736722
N/A	12/19/2016	16:40:40.845	0.004564	7441.557356	0.787717	-0.062242	190.205215	1.009288	0.079829	90.806212	0.017241	0.685179	2.081033	7.131639	86.117645	4.941176	-4.980392	1.000000	1126.755127	0.003265	1537.802979	0.736559
N/A	12/19/2016	16:41:00.502	-0.006559	7510.476700	0.798812	-0.050068	190.199860	1.009339	0.076444	93.311978	0.017701	0.699702	2.079978	7.131544	86.117645	4.901961	-5.019608	1.000000	1126.481201	0.003317	1846.391235	0.737206
N/A	12/19/2016	16:41:20.092	0.001889	7655.404365	0.815911	-0.068044	190.178436	1.009204	0.075210	94.736147	0.018043	0.714842	2.084155	7.132444	86.823532	4.862745	-5.019608	1.000000	1126.565430	0.003132	1499.214600	0.737057
N/A	12/19/2016	16:41:39.749	0.010364	7708.851406	0.826106	-0.069597	190.189148	1.009288	0.074530	109.119768	0.018472	0.728401	2.081556	7.131758	86.823532	4.862745	-5.019608	1.000000	1126.565063	0.003173	1372.367676	0.737761
N/A	12/19/2016	16:41:59.347	0.011600	7732.348462	0.835329	-0.044487	190.221283	1.009271	0.070331	110.278395	0.018753	0.743471	2.079367	7.131031	86.823532	4.941176	-5.019608	1.000000	1126.536377	0.003156	2096.713867	0.737071
N/A	12/19/2016	16:42:18.989	0.009551	7806.624201	0.843313	-0.052110	190.205215	1.009423	0.068676	113.093240	0.019097	0.753603	2.077867	7.131037	86.117645	4.901961	-5.019608	1.000000	1126.546997	0.003141	1962.271240	0.736931
N/A	12/19/2016	16:42:38.648	0.011046	7903.991507	0.856895	-0.044613	190.199860	1.009305	0.066638	114.423875	0.019494	0.764851	2.080735	7.132057	86.117645	4.941176	-5.019608	1.000000	1126.526855	0.003191	1320.254761	0.737277
N/A	12/19/2016	16:42:58.244	0.007551	7966.649040	0.862795	-0.046285	190.242706	1.009373	0.063799	117.286351	0.019776	0.776379	2.078776	7.131769	86.823532	4.862745	-5.019608	1.000000	1126.573120	0.003233	959.420410	0.736824
N/A	12/19/2016	16:43:17.869	0.017951	8087.613280	0.875943	-0.057220	190.242706	1.009271	0.061572	119.011152	0.020208	0.784245	2.084890	7.134878	86.823532	4.862745	-5.019608	1.000000	1126.606689	0.003122	1103.781860	0.737564
N/A	12/19/2016	16:43:37.460	0.010247	8117.206744	0.881799	-0.053417	190.194504	1.009322	0.062915	119.243897	0.020365	0.792319	2.089506	7.136721	86.823532	4.862745	-5.019608	1.000000	1126.440552	0.003349	1193.314575	0.737614
N/A	12/19/2016	16:43:57.083	0.025175	8227.597553	0.894822	-0.047216	190.274826	1.009339	0.062202	120.627541	0.020905	0.801563	2.083606	7.133949	86.117645	4.941176	-5.019608	1.000000	1126.664673	0.003194	1123.404541	0.737223
N/A	12/19/2016	16:44:16.707	0.030992	8240.091233	0.898029	-0.055966	190.242706	1.009407	0.059684	121.713439	0.021017	0.809774	2.088572	7.137064	87.529411	4.862745	-5.019608	1.000000	1126.649536	0.003310	1294.138428	0.737966
N/A	12/19/2016	16:44:36.356	0.021280	8313.121091	0.905517	-0.064475	190.248062	1.009373	0.058250	124.673666	0.021201	0.816315	2.088250	7.136953	86.823532	4.941176	-5.019608	1.000000	1126.500854	0.003216	1613.459717	0.737869
N/A	12/19/2016	16:44:55.956	0.033392	8365.166891	0.911978	-0.058398	190.317673	1.009288	0.058131	124.994200	0.021526	0.820962	2.087074	7.136293	87.529411	4.784314	-5.019608	1.000000	1126.598267	0.003203	1304.452393	0.737070
N/A	12/19/2016	16:45:15.613	0.024661	8410.159663	0.918937	-0.070591	190.317673	1.009356	0.057010	125.190973	0.021529	0.830781	2.087379	7.136333	86.823532	4.862745	-5.019608	1.000000	1126.611694	0.003271	1204.383667	0.737571
N/A	12/19/2016	16:45:35.203	0.034156	8445.124700	0.927162	-0.055906	190.360519	1.009254	0.055166	126.230128	0.021846	0.831183	2.085266	7.135742	86.117645	4.941176	-5.019608	1.000000	1126.509521	0.003109	1149.664673	0.737388
N/A	12/19/2016	16:45:54.854	0.024125	8445.785332	0.926641	-0.068887	190.339096	1.009356	0.053536	127.963125	0.021767	0.838782	2.089777	7.137936	87.529411	4.862745	-5.019608	1.000000	1126.560059	0.003229	1393.242310	0.737869
N/A	12/19/2016	16:46:14.485	0.025166	8486.351451	0.929142	-0.066481	190.317673	1.009356	0.052240	128.550290	0.021872	0.844510	2.089330	7.138235	86.823532	4.862745	-5.019608	1.000000	1126.593506	0.003205	1333.492920	0.737920
N/A	12/19/2016	16:46:34.076	0.035816	8518.937242	0.935528	-0.071119	190.285538	1.009390	0.052979	128.934447	0.022247	0.847338	2.088653	7.138599	87.529411	4.823529	-5.019608	1.000000	1126.636963	0.003194	1264.549438	0.737381
N/A	12/19/2016	16:46:53.733	0.031159	8575.845166	0.942364	-0.061770	190.290894	1.009457	0.050319	129.003477	0.022433	0.847774	2.085885	7.137077	86.823532	4.862745	-5.019608	1.000000	1126.607056	0.003245	1557.580078	0.736973
N/A	12/19/2016	16:47:13.323	0.035412	8582.752492	0.942237	-0.054548	190.280182	1.009339	0.049356	132.054167	0.022441	0.854271	2.089603	7.139364	86.117645	4.941176	-5.019608	1.000000	1126.546753	0.003201	1492.193970	0.737359
N/A	12/19/2016	16:47:32.973	0.031140	8560.947406	0.943418	-0.065219	190.215927	1.009322	0.049857	132.029907	0.022473	0.857842	2.093686	7.141373	86.823532	4.901961	-5.019608	1.000000	1126.564209	0.003217	1063.413696	0.737523
N/A	12/19/2016	16:47:52.570	0.035567	8590.715864	0.948621	-0.061309	190.231995	1.009356	0.048444	133.787285	0.022536	0.859267	2.090993	7.140263	86.117645	4.941176	-5.019608	1.000000	1126.464111	0.003258	1848.909912	0.737566
N/A	12/19/2016	16:48:12.194	0.029140	8593.802485	0.950222	-0.060479	190.258759	1.009373	0.046701	131.648030	0.022647	0.862830	2.093784	7.141167	86.823532	4.901961	-5.019608	1.000000	1126.602417	0.003230	1391.479736	0.736954
N/A	12/19/2016	16:48:31.818	0.032218	8638.242938	0.955848	-0.056551	190.280182	1.009407	0.045877	133.712550	0.022969	0.865021	2.091504	7.140188	86.823532	4.901961	-5.019608	1.000000	1126.583008	0.003221	1613.735107	0.737367
N/A	12/19/2016	16:48:51.449	0.029935	8735.033472	0.961241	-0.069297	190.290894	1.009440	0.043745	134.200030	0.022900	0.866077	2.087569	7.139189	86.823532	4.901961	-5.019608	1.000000	1126.573853	0.003234	1525.280884	0.736784
N/A	12/19/2016	16:49:11.066	0.034636	8646.619483	0.957313	-0.045194	190.290894	1.009423	0.046177	134.289816	0.022966	0.866856	2.091887	7.141327	86.823532	4.901961	-5.019608	1.000000	1126.548584	0.003285	1429.660156	0.736932
N/A	12/19/2016	16:49:30.690	0.033379	8703.439508	0.962716	-0.070817	190.269470	1.009423	0.043734	135.202379	0.023127	0.868356	2.090837	7.141445	86.117645	4.941176	-5.019608	1.000000	1126.613281	0.003214	1521.316162	0.737884
